program_tour,url,description,price,region
ทัวร์ญี่ปุ่น โตเกียว คามาคุระ เกาะเอโนชิมะ สวนสนุกฟูจิคิวไฮแลนด์ FUJIYAMA TOWER ศาลเจ้าเอโนชิมะ อิสระเต็มวัน,https://www.mushroomtravel.com/tour/outbound/japan/mush260673-japan-5d3n-by-xj,"เที่ยว:คามาคุระ-ศาลเจ้าสีรุงะโอะกะฮะจิมัง-ถนนโคมาจิโดริ-เกาะเอโนชิมะ-ศาลเจ้าเอโนชิมะ-ถนนเบ็นไชเท็น นากามิเสะ-ยามานาชิ-สวนสนุกฟูจิคิวไฮแลนด์-Par tea CUP-FUJIYAMA TOWER-โตเกียว-อิสระเต็มวัน-โตเกียวดิสนีย์แลนด์(เลือกซื้อเพิ่ม)ช้อป:ย่านโอไดบะ-ไดเวอร์ซิตี้ โตเกียว พลาซ่า#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1. กรณีซื้อบัตรเข้าสวนสนุกเพิ่มเติม กรุณาติดต่อเจ้าหน้าที่ เพื่อเช็ควันเที่ยวอิสระอีกครั้ง ราคา26,888บาท",26888,Asia
ทัวร์เวียดนาม ดานัง ฮอยอัน บานาฮิลล์ สะพานสีทอง เมืองโบราณฮอยอัน นั่งเรือกระด้ง พักบาน่าฮิลล์ 1 คืน ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/vietnam/mush260761-vietnam-4d3n-by-vz-,"พิเศษ:ไม่เข้าร้านรัฐบาลเที่ยว:สะพานแห่งความรัก-รูปปั้นปลามังกร-สะพานมังกรไฟ-วัดหลิงอิ๋ง-SON TRA MARINA CAFE-หมู่บ้านกั๊มทาน-นั่งเรือกระด้ง-เมืองโบราณฮอยอัน-สะพานญี่ปุ่น-บานาฮิลล์-สะพานสีทอง-ปราสาทจันทรา-โบสถ์คริสต์ดานังช้อป:ตลาดฮานกิน:เมนูอาหารนึ่ง+กุ้งมังกรโต๊ะละ 1 ตัว-บุฟเฟ่ต์อาหารนานาชาติพัก:พักบนบาน่าฮิลล์ 1 คืน#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา18,799บาท",18799,Asia
ทัวร์ญี่ปุ่น โตเกียว คาวาโกเอะ วัดอาซากุสะ หอนาฬิกาโทคิโนะคาเนะ สวนโออิชิ ปาร์ค ทุ่งดอกลาเวนเดอร์ อิสระเต็มวัน,https://www.mushroomtravel.com/tour/outbound/japan/mush260432-japan-6d3n-by-nh-,"เที่ยว:วัดอาซากุสะ-คาวาโกเอะ-ถนนคุระซึคุริ-หอนาฬิกาโทคิโนะคาเนะ-สวนโออิชิ ปาร์ค-ทุ่งดอกลาเวนเดอร์-สวนสนุกโตเกียวดิสนีย์แลนด์(เลือกซื้อทัวร์เสริม)-ศาลเจ้าเมจิ-ตลาดปลาซึกิจิ-อิสระเต็มวันช้อป:ถนนนาคามิเซ-ตรอกคาชิยะโยโคโช-Duty Free-ย่านชินจูกุ-โอไดบะ-อิออน มอลล์กิน:เมนูบุฟเฟ่ต์ชาบู-บุฟเฟ่ต์ปิ้งย่างยากินิคุพัก:พักออนเซ็น 1 คืนบิน All Nipon ลำใหญ่, เสริฟอาหาร, ได้ นน.กระเป๋า 23กก 2 ใบ#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1.กรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว2.กรณีซื้อบัตรเข้าสวนสนุกเพิ่มเติม กรุณาติดต่อเจ้าหน้าที่ เพื่อเช็ควันเที่ยวอิสระอีกครั้ง ราคา35,990บาท",35990,Asia
ทัวร์เวียดนาม ฮาหยาง ตามด๋าว ภูเขาเต้านางฟ้า หมู่บ้านโลโล๋จ๋าย โบสถ์หินโบราณตามด๋าว Gio Cafe ล่องเรือมาปีแลง,https://www.mushroomtravel.com/tour/outbound/vietnam/mush254546-vietnam-4d3n-by-fd-,"เที่ยว:ฮาหยาง-Heaven Gate Coffee-ภูเขาเต้านางฟ้า-หอธงหลุงกู่-หมู่บ้านโลโล๋จ๋าย-ช่องเขามาปีแลง-ล่องเรือมาปีแลง-Tham Ma Pass-ตามด๋าว-Tam Dao Time Square-โบสถ์หินโบราณตามด๋าว-Gio Cafeเที่ยวเส้นทางใหม่ เวียดนามเหนือ ฮานอย ฮาหยาง ตามด๋าว#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา22,999บาท",22999,Asia
ทัวร์เวียดนาม ดานัง ฮอยอัน บานาฮิลล์ สะพานมือสีทอง หมู่บ้านกั๊มทาน เมืองโบราณฮอยอัน สระผมสไตล์เวียดนาม,https://www.mushroomtravel.com/tour/outbound/vietnam/mush231760-vietnam-4d3n-by-fd,"พิเศษ:สระผมสไตล์เวียดนาม-ล่องเรือลอยกระทงแม่น้ำหว่ายเที่ยว:ดานัง-Wonder Park-สะพานมังกร-Apec Park-หาดหมีเคว-บานาฮิลล์-สะพานมือสีทอง-สวนสนุกแฟนตาซี-หมู่บ้านฝรั่งเศส-Eclipse Square-หมู่บ้านกั๊มทาน-นั่งเรือกระด้ง-เมืองโบราณฮอยอัน-วัดจีน-บ้านโบราณ-สะพานญี่ปุ่น-ศาลกวนอู-วัดลินห์อึ๋ง-Cafe Son Tra Marinaช้อป:ตลาดฮานกิน:แหนมเนือง-บุฟเฟ่ต์นานาชาติเปิดประสบการณ์ สระผมสไตล์เวียดนามแบบ Original#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา18,499บาท",18499,Asia
ทัวร์จีน บินตรงมองโกลเลียใน ออร์ดอส โฮฮอท อุทยานภูเขาไฟอูลันฮาตา ทุ่งหญ้าออร์ดอส ขี่อูฐทะเลทรายเสียงซาวาน ,https://www.mushroomtravel.com/tour/outbound/china/mush260329-china-6d5n-by-vz,"พิเศษ:สวมชุดนักบินอวกาศ-งานราตรีรอบกองไฟมองโกล-สวมชุดมองโกลเลียโบราณเที่ยว:อุทยานภูเขาไฟอูลันฮาตา-โฮฮอท-วัดต้าเจา-ถนนโบราณไซ่ซ่าง-ต้าล่าเท่อฉี-ขี่อูฐทะเลทรายเสียงซาวาน-ทุ่งหญ้าออร์ดอส-น้ำพุคังปาซือ-ทำเนียบพระลามะอูหลาน-ศูนย์วัฒนธรรมมองโกลหยวนหลิว-เขต ท่องเที่ยวเจงกิสข่าน-อี้เค่อโอโบช้อป:ถนนคนเดินคังปาซือกิน:เมนูสุกี้มองโกลพัก:พัก 4 ดาวทุกคืน-พักสไตล์มองโกล 1 คืนขี่อูฐชมทะเลทราย พักสไตล์มองโกล 1คืน#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา24,965บาท",24965,Asia
ทัวร์จีน จางเจียเจี้ย ถ้ำประตูสวรรค์ เขาเทียนเหมินซาน เมืองโบราณฝูหรงเจิ้น หมู่บ้านวัฒนธรรมซานเสีย,https://www.mushroomtravel.com/tour/outbound/china/mush260956-china-5d4n-by-9h-,"พิเศษ:ชมการแสดงทางวัฒนธรรมชนเผ่าถู่เจียเที่ยว:หมู่บ้านวัฒนธรรมซานเสีย-ล่องเรือชมทัศนียภาพช่องเขาซานเสีย-บ้านเกิดชวีหยวน-จางเจียเจี้ย-นั่งกระเช้าไฟฟ้า-เขาเทียนเหมินซาน-ถ้ำประตูสวรรค์-ระเบียงแก้ว-เมืองโบราณฝูหรงเจิ้นช้อป:ถนนคนเดินเมืองอี้ชาง-POP MARTกิน:เมนูบุฟเฟ่ปิ้งย่างเกาหลี-สุกี้เห็ดพัก:พัก 4 ดาวทุกคืน#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1.ทัวร์ประหยัด, ลงร้าน2.กรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว ราคา15,990บาท",15990,Asia
ลด 700บาท/ที่ จองภายใน 17 ก.พ.-30 มิ.ย. 69 :  ทัวร์จีน คุนหมิง ต้าหลี่ ลี่เจียง เมืองโบราณไป๋ชา สวนดอกไม้ทิงฮวากู่ เมืองโบราณซาซี YUN TI YANG CAFE ไม่เข้าร้านรัฐบาล ,https://www.mushroomtravel.com/tour/outbound/china/mush260324-china-6d5n-by-ky,"พิเศษ:ไม่เข้าร้านรัฐบาล-นั่งรถไฟความเร็วสูง(ฟรี!รถขนกระเป๋า)เที่ยว:สวนน้ำตกคุนหมิง-ภูเขาซีซาน-เมืองโบราณต้าหลี่-เจดีย์สามองค์-วัดเจ้าแม่กวนอิมแปลงกาย-ซานโตรินี่-เมืองโบราณซาซี-หมู่บ้านซีโจว-เมืองโบราณลี่เจียง-สวนดอกไม้ทิงฮวากู่-เมืองโบราณไป๋ชา-YUN TI YANG CAFE-ชมเทศกาลดอกไม้บาน (ตามฤดูกาล)ช้อป:ซุ้มประตูม้าทองและซุ้มประตูไก่หยก-ถนนหนานผิงเจีย-POP MARTกิน:เมนูอาหารกวางตุ้ง-สุกี้ปลาแซลมอน-สุกี้เห็ดพัก:พัก 4 ดาวทุกคืน#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา27,999บาท",27999,Asia
ทัวร์จีน เฉิงตู หุบเขาสี่ดรุณี ร้านหนังสือจงซูเก๋อ หุบเขาชวงเฉียวโกว พักอุทยานหุบเขาสี่ดรุณี,https://www.mushroomtravel.com/tour/outbound/china/mush260061-china-4d2n-by-3u,"เที่ยว:เฉิงตู-ย่านตงเจียวจี้อี้-ถนนคนเดินฟ่างฮว่า-ตูเจียงเอี้ยน-ร้านหนังสือจงซูเก๋อ-รูปปั้นแพนด้าเซลฟี่-อุทยานหุบเขาสี่ดรุณี-หุบเขาชวงเฉียวโกว-โชว์น้ำพุไม้ไผ่-ตึกแฝดเฉิงตู-แพนด้ายักษ์ปีนตึก IFSช้อป:ห้าง SKP เฉิงตู-ร้านของฝากจัตุรัสเทียนฟู่-ถนนคนเดินไทกู่หลี่-ถนนคนเดินชุนซีลู่พัก:พัก 5 ดาว-พักอุทยานหุบเขาสี่ดรุณีพิเศษกว่า! พักอุทยานหุบเขาสี่ดรุณี 1 คืน#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1. ทัวร์ประหยัด, ลงร้าน2. กรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว ราคา15,490บาท",15490,Asia
ทัวร์ไต้หวัน ไทเป ไถจง ถนนโบราณจิ่วเฟิ่น ทะเลสาบสุริยันจันทรา ตึกไทเป101 อนุสรณ์สถานเจียงไคเช็ค,https://www.mushroomtravel.com/tour/outbound/taiwan/mush261699-taiwan-4d3n-by-vz,"เที่ยว:ไถจง-ร้านไอศกรีมมิยาฮาร่า-หนานโถว-วัดเหวินอู่-ล่องเรือทะเลสาบสุริยันจันทรา-วัดพระถังซัมจั๋ง-ไทเป-นิวไทเป-ท่าเรือประมงเจิ้งปิน-ถนนโบราณจิ่วเฟิ่น-วัดหลงซาน-อนุสรณ์สถานเจียงไคเช็ค-ตึกไทเป101ช้อป:ตลาดกลางคืนอี้จง-ตลาดกลางคืนหนิงเซี่ย-ร้านขนมพายสับปะรด-ตลาดกลางคืนซีเหมินติงกิน:หม้อนึ่งจักรพรรดิ-เสี่ยวหลงเปา-บุฟเฟ่ต์ชาบูบินเช้า กลับค่ำ เน้นเที่ยวไฮไลท์ และตลาดกลางคืน#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา18,888บาท",18888,Asia
ทัวร์ญี่ปุ่น โอซาก้า เกียวโต คามิโคจิ เจแปนแอลป์ วัดเบียวโดอิน ศาลเจ้าเฮอัน ศาลเจ้านัมบะยาซากะ,https://www.mushroomtravel.com/tour/outbound/japan/mush255350-japan-6d4n-by-xj,"เที่ยว:เกียวโต-อุจิ-วัดเบียวโดอิน-คานาซาว่า-เจแปนแอลป์-ยอดเขาทาเทยาม่า-กำแพงหิมะ-เขื่อนคุโรเบะ-มัตสึโมโตะ-คามิโคจิ-นาโกย่า-เกียวโต-ศาลเจ้าเฮอัน-โอซาก้า-ศาลเจ้านัมบะยาซากะ-ป้ายกูลิโกะช้อป:ถนนเบียวโดอิน โอโมเตะซันโด-LALAPORT NAGOYA MINATO AQULS-ซาคาเอะ-ชินไซบาชิ-โดทงโบริเจแปนแอลป์+คามิโคจิ ในราคาที่คุ้มที่สุด#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา46,888บาท",46888,Asia
ทัวร์ญี่ปุ่น โตเกียว สวนสนุกฟูจิคิวไฮแลนด์ วัดฮาเซเดระ หมู่บ้านน้ำใสโอชิโนะฮัคไค ถนนโคมาจิโดริ อิสระเต็มวัน,https://www.mushroomtravel.com/tour/outbound/japan/mush260993-japan-5d3n-by-xj-,"เที่ยว:วัดฮาเซเดระ-ประภาคารสีขาวริมท่าเรือคาตาเสะ-หมู่บ้านน้ำใสโอชิโนะฮัคไค-สวนสนุกฟูจิ คิว ไฮแลนด์-กันดั้ม RX 0 UNICORN-สวนสนุกโตเกียวดิสนีย์แลนด์(เลือกซื้อทัวร์เสริม)-อิสระเต็มวันช้อป:ถนนโคมาจิโดริ-โกเท็มบะ พรีเมี่ยม เอาท์เล็ท-โอไดบะพัก:พักออนเซ็น 1 คืน#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรมกรณีซื้อบัตรเข้าสวนสนุกเพิ่มเติม กรุณาติดต่อเจ้าหน้าที่ เพื่อเช็ควันเที่ยวอิสระอีกครั้ง ราคา27,499บาท",27499,Asia
